name,hours,attendance,previous_score,course,result
Liam,4.6,54,85,CS,Pass
Sophia,2.0,82,unknown,CS,Fail
Noah,5.6,60,46,CS,Fail
Olivia,2.4,,42,CS,Fail
Ethan,3.4,80,52,English,Fail
Ava,7.3,80,58,Math,Pass
Mason,5.1,80,43,CS,Pass
Isabella,8.5,72,75,English,Pass
Lucas,4.3,95,unknown,CS,Fail
Mia,4.3,76,78,CS,Fail
James,,77,88,Math,Fail
Emma,6.4,47,44,CS,Fail
Oliver,4.5,89,79,CS,Fail
Amelia,1.8,,69,English,Fail
Harry,9.0,64,92,English,Pass
Charlotte,4.8,74,80,Math,Fail
Jack,3.4,63,51,CS,Fail
Sophie,10.6,50,56,English,Pass
Leo,2.5,72,70,CS,Fail
Grace,10.7,59,54,Math,Pass
Ben,3.6,76,58,English,maybe
Chloe,6.9,84,75,Math,Pass
Owen,7.8,88,41,English,Pass
Lily,10.6,96,85,N/A,Pass
Max,8.0,48,59,Math,Pass
Ella,,83,41,Math,Pass
Finn,2.1,68,38,Math,Fail
Zoe,2.6,61,79,N/A,Fail
Adam,10.3,74,96,English,maybe
Nora,,92,68,English,Pass
Liam2,1.3,78,81,Math,Fail
Sophia2,9.3,64,46,CS,Pass
Noah2,11.0,67,63,CS,Pass
Olivia2,8.0,84,59,Math,Pass
Ethan2,3.5,78,98,English,Fail
Ava2,9.7,75,68,Math,Pass
Mason2,5.9,91,79,N/A,Fail
Isabella2,6.2,66,61,English,Fail
Lucas2,10.2,75,79,CS,Fail
Mia2,11.0,95,60,English,Pass
James2,8.0,50,85,English,Pass
Emma2,9.0,55,51,Math,Pass
Oliver2,,54,95,CS,Pass
Amelia2,7.0,46,36,CS,Fail
Harry2,11.3,72,59,Math,Fail
Charlotte2,6.5,93,76,English,Pass
Jack2,1.7,92,80,English,Fail
Sophie2,6.7,97,51,CS,Pass
Leo2,10.6,94,58,CS,Fail
Grace2,2.9,75,50,CS,Pass
Ben2,6.8,75,48,CS,Fail
Chloe2,1.5,51,92,CS,Pass
Owen2,1.7,65,60,CS,Fail
Lily2,9.9,77,66,CS,Pass
Max2,11.2,80,60,N/A,Pass
Ella2,5.9,49,65,English,Pass
Finn2,9.6,94,54,CS,Pass
Zoe2,3.8,53,unknown,Math,Fail
Adam2,10.7,55,63,Math,Pass
Nora2,5.4,71,60,English,Fail
Liam3,1.2,80,93,English,Fail
Sophia3,6.7,63,43,Math,Fail
Noah3,11.7,51,45,English,Pass
Olivia3,3.0,93,51,English,Fail
Ethan3,11.4,70,54,CS,Pass
Ava3,8.7,50,70,Math,Pass
Mason3,10.8,62,37,CS,Fail
Isabella3,7.7,59,43,English,Fail
Lucas3,4.7,,88,English,Pass
Mia3,8.8,52,55,English,Fail
James3,4.4,64,61,English,Fail
Emma3,many,96,37,English,Pass
Oliver3,6.6,57,95,N/A,Pass
Amelia3,10.0,72,98,CS,Pass
Harry3,6.6,89,62,Math,Pass
Charlotte3,8.8,85,52,English,Pass
Jack3,10.2,45,44,CS,Pass
Sophie3,2.8,50,83,CS,Fail
Leo3,3.7,63,40,English,Fail
Grace3,many,68,77,CS,Fail
Ben3,10.7,58,80,Math,Fail
Chloe3,many,77,60,Math,Pass
Owen3,3.9,50,53,English,Fail
Lily3,4.3,85,64,Math,Fail
Max3,9.3,87,84,English,Pass
Ella3,4.1,84,53,Math,Fail
Finn3,6.6,72,52,CS,Fail
Zoe3,9.9,46,64,Math,maybe
Adam3,5.0,51,83,English,Fail
Nora3,7.9,88,66,English,Pass
Liam4,1.8,77,46,CS,Fail
Sophia4,6.2,96,44,English,Pass
Noah4,3.5,86,unknown,English,Fail
Olivia4,11.0,63,40,CS,Pass
Ethan4,7.6,66,67,CS,Pass
Ava4,7.2,45,96,Math,Pass
Mason4,2.1,58,97,English,Fail
Isabella4,6.1,94,50,CS,Pass
Lucas4,11.3,46,72,English,Fail
Mia4,11.9,62,84,Math,Pass
